주제분류,문화시설명,주소,X좌표,Y좌표
기타,경희대학교,서울특별시 동대문구 경희대로 26,37.59508000957669,127.04930180082712
공연장,우란2경,서울특별시 성동구 연무장7길 11,37.54378949907664,127.0544188534374
도서관,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.63723039689538,126.93311834754995
문화예술회관,노원문화예술회관,서울특별시 노원구 중계로 181,37.65023585990375,127.08026925498874
미술관,서울시립미술관 SeMA창고,서울특별시 은평구 통일로 684,37.60940533804935,126.93495535259598
공연장,동숭무대,서울특별시 종로구 혜화로 35,37.58868965585108,126.99917120271677
도서관,고척도서관,서울  구로구 고척동  고척로45길 31,37.5053516,126.8532545
기타,양천구민체육센터,서울  양천구 신정동 322-10 ),37.5165626,126.8644841
박물관/기념관,한국미술박물관,서울  종로구,37.5808916,126.9890575
기타,금천예술공장,서울시 금천구 범안로15길 57,37.4689151172,126.8919130351
도서관,송파도서관,서울  송파구 오금동 51 ),37.4999933,127.1348396
박물관/기념관,세종대왕기념관,서울  동대문구 청량리동 1-157 ),37.5908164,127.0435894
문화예술회관,북촌 서울무형문화재 교육전시장,종로구 북촌로 20-13,37.5769527,126.9911313
문화원,독일문화원,서울  용산구 후암동 339-1 ),37.5507720,126.9828149
문화원,영국문화원,서울  종로구 신문로1가 226 ),37.5696296,126.9721884
도서관,반포도서관,서울특별시 서초구 고무래로 34,37.5024886051,127.012512651
문화예술회관,강북 문화예술회관,서울  강북구,37.6408544,127.0133421
박물관/기념관,용산도시기억전시관,한강로3가 64-1  용산센트럴파크 해링턴스퀘어 공공시설동 12층,37.5268663293705,126.966879673505
기타,광진교 8번가,서울특별시 강동구 천호2동 527-2 광진교 8번가,37.5451462595072,127.112687934633
박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로 174길 27 서울생활사박물관,37.6189510142108,127.076783607411
박물관/기념관,공평도시유적전시관,서울특별시 종로구 우정국로 26,37.5714966636936,126.983659015157
미술관,김영옥 미술관,서울특별시 종로구 창의문로10길 11,37.5938781052674,126.964253937947
